total bytes,total packets,total bytes per seconds,total packets per seconds
61666406,113690,101092.46885245902,186.37704918032787
61727465,113837,101192.5655737705,186.61803278688524
61731743,113910,101199.57868852459,186.7377049180328
61726489,113726,101190.96557377049,186.4360655737705
61640087,113558,101049.32295081967,186.16065573770493
