received bytes,received packets,sent bytes,sent packets,received bytes per seconds,received packets per seconds,sent bytes per seconds,sent packets per seconds,bytes ratio,packets ratio,bytes per packet
262782,2588,211635,1925,525.564,5.176,423.27,3.85,1.2416755262598342,1.3444155844155845,109.94025974025973
264922,2571,214146,1905,529.844,5.142,428.292,3.81,1.237109261905429,1.3496062992125983,112.41259842519685
253920,2597,203149,1931,507.84,5.194,406.298,3.862,1.249920009451191,1.344899016053858,105.20403935784567
263953,2594,211629,1928,527.906,5.188,423.258,3.856,1.2472439977507808,1.345435684647303,109.76607883817428
285908,2643,232765,1976,571.816,5.286,465.53,3.952,1.2283118166390996,1.3375506072874495,117.79605263157895
71582,858,146916,1205,143.164,1.716,293.832,2.41,0.48723079855155327,0.7120331950207469,121.9219917012448
266114,2651,214197,1982,532.228,5.302,428.394,3.964,1.2423796785202408,1.3375378405650857,108.07114026236125
276683,2576,225704,1920,553.366,5.152,451.408,3.84,1.225866621770106,1.3416666666666666,117.55416666666666
274588,2604,224113,1945,549.176,5.208,448.226,3.89,1.2252212053740748,1.3388174807197943,115.22519280205655
71415,946,145224,1283,142.83,1.892,290.448,2.566,0.49175756073376303,0.7373343725643025,113.19095869056898
276459,2627,224900,1967,552.918,5.254,449.8,3.934,1.2292530013339262,1.3355363497712252,114.33655312658871
246760,2602,196333,1947,493.52,5.204,392.666,3.894,1.2568442391243448,1.3364149974319466,100.83872624550591
73408,902,149119,1258,146.816,1.804,298.238,2.516,0.49227797933194295,0.7170111287758346,118.53656597774246
264555,2551,214302,1913,529.11,5.102,428.604,3.826,1.23449617829045,1.333507579717721,112.02404600104548
269423,2661,219443,2006,538.846,5.322,438.886,4.012,1.2277584611949344,1.3265204386839482,109.39332003988036
293673,2657,241495,1998,587.346,5.314,482.99,3.996,1.216062444357026,1.32982982982983,120.86836836836837
235720,2533,184753,1868,471.44,5.066,369.506,3.736,1.27586561517269,1.3559957173447537,98.9041755888651
272201,2609,220380,1955,544.402,5.218,440.76,3.91,1.2351438424539432,1.3345268542199489,112.72634271099744
262126,2567,210693,1908,524.252,5.134,421.386,3.816,1.2441134731576275,1.3453878406708595,110.42610062893081
72128,871,146930,1220,144.256,1.742,293.86,2.44,0.4909004287756074,0.7139344262295082,120.43442622950819
244080,2590,192217,1940,488.16,5.18,384.434,3.88,1.2698148446807513,1.3350515463917525,99.08092783505154
255691,2527,205210,1891,511.382,5.054,410.42,3.782,1.2459967837824668,1.3363299841353782,108.5193019566367
247736,2616,197476,1959,495.472,5.232,394.952,3.918,1.254511940691527,1.335375191424196,100.8044920877999
62279,918,137499,1271,124.558,1.836,274.998,2.542,0.4529414759380068,0.7222659323367427,108.18174665617624
71341,948,146822,1305,142.682,1.896,293.644,2.61,0.48590129544618654,0.7264367816091954,112.5072796934866
67413,852,144094,1231,134.826,1.704,288.188,2.462,0.4678404374921926,0.6921202274573518,117.0544272948822
290173,2677,238589,2015,580.346,5.354,477.178,4.03,1.2162044352421948,1.3285359801488834,118.40645161290323
70742,929,145648,1281,141.484,1.858,291.296,2.562,0.48570526200153796,0.7252146760343482,113.69867291178767
251750,2602,200322,1944,503.5,5.204,400.644,3.888,1.2567266700612014,1.3384773662551441,103.04629629629629
295982,2707,243679,2041,591.964,5.414,487.358,4.082,1.2146389307244367,1.3263106320431162,119.39196472317491
298309,2587,247003,1929,596.618,5.174,494.006,3.858,1.207714076347251,1.3411093831000518,128.0471747019181
