total bytes,total packets,total bytes per seconds,total packets per seconds
1636333,12388,3272.666,24.776
1599321,12184,3198.642,24.368
1614791,12070,3229.582,24.14
1628173,12223,3256.346,24.446
1613165,12118,3226.33,24.236
