received bytes,received packets,sent bytes,sent packets,received bytes per seconds,received packets per seconds,sent bytes per seconds,sent packets per seconds,bytes ratio,packets ratio,bytes per packet
240270,2126,198701,1700,480.54,4.252,397.402,3.4,1.2092037785416279,1.2505882352941176,116.8829411764706
216414,1997,173202,1553,432.828,3.994,346.404,3.106,1.2494890359233728,1.2858982614294914,111.52736638763683
241836,2111,199733,1666,483.672,4.222,399.466,3.332,1.2107964132116376,1.2671068427370948,119.88775510204081
263435,2089,219598,1641,526.87,4.178,439.196,3.282,1.1996238581407845,1.2730042656916514,133.8196221815966
227935,2016,184021,1567,455.87,4.032,368.042,3.134,1.238635807869754,1.2865347798340778,117.43522654754308
243642,2146,200804,1697,487.284,4.292,401.608,3.394,1.2133324037369773,1.2645845609899824,118.32881555686505
247314,2070,205024,1625,494.628,4.14,410.048,3.25,1.206268534415483,1.2738461538461539,126.16861538461538
245858,2099,203503,1656,491.716,4.198,407.006,3.312,1.208129609882901,1.267512077294686,122.88828502415458
224084,2004,181539,1562,448.168,4.008,363.078,3.124,1.2343573557197076,1.2829705505761844,116.22215108834827
218284,1997,175915,1549,436.568,3.994,351.83,3.098,1.2408492737970043,1.28921885087153,113.56681730148483
244360,2060,202065,1616,488.72,4.12,404.13,3.232,1.2093138346571648,1.2747524752475248,125.04022277227723
226851,1976,184652,1533,453.702,3.952,369.304,3.066,1.2285325910361111,1.28897586431833,120.45140247879974
260055,2081,217581,1640,520.11,4.162,435.162,3.28,1.1952100597019042,1.2689024390243901,132.67134146341462
225759,1990,182708,1542,451.518,3.98,365.416,3.084,1.2356273397990236,1.2905317769131,118.48767833981842
238640,2039,196677,1593,477.28,4.078,393.354,3.186,1.213359976001261,1.2799748901443817,123.46327683615819
52929,532,137917,1107,105.858,1.064,275.834,2.214,0.3837742990349268,0.48057813911472447,124.5862691960253
58681,556,143588,1135,117.362,1.112,287.176,2.27,0.40867621249686603,0.48986784140969164,126.50925110132158
251977,2117,209447,1681,503.954,4.234,418.894,3.362,1.2030585303203196,1.2593694229625223,124.59666864961332
246531,2034,203641,1590,493.062,4.068,407.282,3.18,1.2106157404451952,1.2792452830188679,128.07610062893082
52101,512,137790,1097,104.202,1.024,275.58,2.194,0.3781188765512737,0.4667274384685506,125.60619872379216
45978,535,131806,1120,91.956,1.07,263.612,2.24,0.3488308574723457,0.47767857142857145,117.68392857142857
221508,1968,179501,1525,443.016,3.936,359.002,3.05,1.2340209803845104,1.2904918032786885,117.70557377049181
236363,2017,194520,1599,472.726,4.034,389.04,3.198,1.2151089862224964,1.2614133833646028,121.65103189493433
246408,2053,204274,1608,492.816,4.106,408.548,3.216,1.2062621772717037,1.2767412935323383,127.0360696517413
52771,527,137618,1099,105.542,1.054,275.236,2.198,0.38346001249836503,0.47952684258416745,125.221110100091
224466,2085,181689,1637,448.932,4.17,363.378,3.274,1.2354407806746694,1.2736713500305437,110.98900427611484
53920,552,138860,1134,107.84,1.104,277.72,2.268,0.38830476739161746,0.48677248677248675,122.45149911816578
223482,2024,182333,1582,446.964,4.048,364.666,3.164,1.225680485704727,1.279393173198483,115.25474083438685
238942,2044,196306,1598,477.884,4.088,392.612,3.196,1.2171915275131682,1.27909887359199,122.84480600750939
227518,2029,183937,1577,455.036,4.058,367.874,3.154,1.236934385142739,1.2866201648700064,116.63728598604946
247950,2047,206575,1622,495.9,4.094,413.15,3.244,1.2002904514098995,1.2620221948212085,127.35819975339088
59669,581,144781,1158,119.338,1.162,289.562,2.316,0.4121328074816447,0.501727115716753,125.02677029360967
52288,514,137031,1097,104.576,1.028,274.062,2.194,0.38157789113412294,0.46855059252506837,124.91431175934366
226410,2019,183395,1571,452.82,4.038,366.79,3.142,1.234548379181548,1.2851686823679185,116.7377466581795
253180,2040,210214,1591,506.36,4.08,420.428,3.182,1.2043917151093648,1.2822124450031427,132.1269641734758
239813,2056,197662,1613,479.626,4.112,395.324,3.226,1.2132478675719156,1.2746435213887166,122.54308741475512
49568,563,135379,1144,99.136,1.126,270.758,2.288,0.3661424593179149,0.49213286713286714,118.3382867132867
217300,2027,175461,1590,434.6,4.054,350.922,3.18,1.2384518496987935,1.2748427672955975,110.35283018867925
256115,2052,212694,1598,512.23,4.104,425.388,3.196,1.2041477427666036,1.2841051314142677,133.10012515644556
235738,2144,194482,1702,471.476,4.288,388.964,3.404,1.212132742361761,1.2596944770857814,114.26674500587544
59872,586,145417,1169,119.744,1.172,290.834,2.338,0.4117262768452107,0.5012831479897348,124.39435414884517
53200,596,138252,1169,106.4,1.192,276.504,2.338,0.3848045597893701,0.5098374679213002,118.26518391787853
226224,2064,186504,1635,452.448,4.128,373.008,3.27,1.2129713035645349,1.2623853211009175,114.0697247706422
244830,2108,201244,1660,489.66,4.216,402.488,3.32,1.2165828546441135,1.269879518072289,121.23132530120482
51610,556,136167,1127,103.22,1.112,272.334,2.254,0.37901988000029374,0.4933451641526176,120.82253771073647
219304,2073,176792,1624,438.608,4.146,353.584,3.248,1.24046336938323,1.2764778325123152,108.86206896551724
49644,510,134370,1081,99.288,1.02,268.74,2.162,0.3694574681848627,0.47178538390379277,124.30157261794635
226095,2002,183244,1560,452.19,4.004,366.488,3.12,1.2338466743795158,1.2833333333333334,117.46410256410256
47397,567,132073,1144,94.794,1.134,264.146,2.288,0.35886971599039924,0.4956293706293706,115.44842657342657
223549,2014,181297,1569,447.098,4.028,362.594,3.138,1.233054049432699,1.2836201402166985,115.54939451880179
240840,1966,205037,1680,481.68,3.932,410.074,3.36,1.1746172642010955,1.1702380952380953,122.04583333333333
238027,1897,202828,1615,476.054,3.794,405.656,3.23,1.1735411284438046,1.1746130030959752,125.59009287925697
248845,1968,212378,1678,497.69,3.936,424.756,3.356,1.171707992353257,1.1728247914183552,126.56615017878427
