total bytes,total packets,total bytes per seconds,total packets per seconds
8901984,73653,17803.968,147.306
8961418,75566,17922.836,151.132
9054708,75851,18109.416,151.702
8944745,74968,17889.49,149.936
9038743,75312,18077.486,150.624
