total bytes,total packets,total bytes per seconds,total packets per seconds
7275987477,8339144,11735463.672580644,13450.232258064516
7278482805,8338270,11739488.39516129,13448.822580645161
7275657258,8338836,11734931.061290322,13449.735483870967
7276678723,8339316,11736578.585483871,13450.509677419355
7264818435,8339623,11717449.088709677,13451.004838709678
