received bytes,received packets,sent bytes,sent packets,received bytes per seconds,received packets per seconds,sent bytes per seconds,sent packets per seconds,bytes ratio,packets ratio,bytes per packet
3351821,47977,79800114,97107,3254.195145631068,46.57961165048544,77475.83883495146,94.27864077669904,0.0420027094196883,0.49406324981721195,821.7750934536131
103616741,168649,82032980,154287,100598.7776699029,163.73689320388348,79643.66990291262,149.79320388349515,1.26311077569046,1.0930862613181926,531.6908099839909
103617746,168806,81970525,154593,100599.75339805825,163.88932038834952,79583.03398058252,150.09029126213593,1.2640854258283694,1.0919381860756956,530.2343896554178
103595184,168668,81893582,154535,100577.84854368932,163.75533980582523,79508.33203883495,150.03398058252426,1.2649975916305627,1.0914550101918659,529.9354968130197
103642229,168538,81685899,154150,100623.52330097088,163.62912621359223,79306.69805825243,149.6601941747573,1.2687897209774235,1.0933376581252028,529.9117677586767
3325885,47393,78942599,96060,3229.0145631067962,46.0126213592233,76643.3,93.2621359223301,0.0421304218778001,0.49336872787840935,821.8051113887154
103646839,168643,82041083,154363,100627.99902912621,163.73106796116505,79651.53689320388,149.86699029126214,1.2633528862606556,1.092509215291229,531.4815273090054
103650007,168740,82149390,154572,100631.07475728156,163.8252427184466,79756.68932038835,150.06990291262136,1.2617258265703495,1.0916595502419584,531.4635897834019
103668472,168729,82185857,154614,100649.00194174757,163.81456310679613,79792.09417475728,150.11067961165048,1.2613906550855825,1.0912918623151848,531.5550791002108
103665938,168780,81247788,154596,100646.54174757282,163.8640776699029,78881.34757281553,150.09320388349514,1.2759232042108026,1.0917488162695024,525.5490957075216
103611925,168831,81344060,154820,100594.10194174758,163.9135922330097,78974.81553398058,150.3106796116505,1.2737491219395738,1.0904986435861,525.4105412737373
103629964,168422,80845192,153930,100611.61553398058,163.51650485436892,78490.47766990292,149.44660194174756,1.2818321218162239,1.0941466900539205,525.2075099071006
3314614,47235,78350015,95811,3218.071844660194,45.859223300970875,76067.97572815535,93.02038834951456,0.04230521206664734,0.4930018473870432,817.7559466032084
103566916,168421,80581584,153783,100550.40388349515,163.51553398058252,78234.54757281553,149.30388349514564,1.2852429905076077,1.095186073883329,523.9953961101032
3306620,47188,78182687,95825,3210.3106796116504,45.81359223300971,75905.5213592233,93.03398058252426,0.042293506745297714,0.4924393425515262,815.8902895903992
103628899,168436,80697488,153846,100610.58155339806,163.53009708737864,78347.07572815534,149.3650485436893,1.2841651155237943,1.094835094835095,524.5341965341966
3281555,46945,77658171,95178,3185.9757281553398,45.577669902912625,75396.28252427184,92.40582524271845,0.04225640338606481,0.4932337304839354,815.925644581731
3324657,47274,78135098,95752,3227.822330097087,45.89708737864078,75859.31844660194,92.9631067961165,0.04255010981108644,0.4937129250563957,816.0153103851617
103628245,168365,80788071,153822,100609.94660194175,163.46116504854368,78435.02038834951,149.34174757281554,1.2827171600619107,1.0945443434619235,525.2049186722315
3310784,47317,78233034,95905,3214.3533980582524,45.93883495145631,75954.40194174758,93.1116504854369,0.04231951428599842,0.4933736510088108,815.7346749387415
103672517,168821,81290536,154501,100652.9291262136,163.90388349514564,78922.8504854369,150.0009708737864,1.2753331703951367,1.092685484236348,526.1489310748798
103618885,168644,81358395,154587,100600.85922330097,163.73203883495145,78988.73300970874,150.08446601941748,1.273610240221676,1.0909326139972961,526.2951929981176
103581291,168369,80867757,153979,100564.36019417476,163.4650485436893,78512.38543689321,149.49417475728154,1.2808725608650182,1.0934543022100416,525.1869215932043
3327523,47575,78350402,96143,3230.604854368932,46.189320388349515,76068.35145631067,93.34271844660194,0.042469762950290924,0.49483581748021177,814.9361055927109
103605782,168674,81302544,154296,100588.13786407767,163.7611650485437,78934.50873786407,149.8019417475728,1.2743239867131342,1.0931845284388448,526.9258049463369
103639498,168695,81395582,154581,100620.8718446602,163.78155339805826,79024.83689320389,150.07864077669902,1.273281613736726,1.0913048822300282,526.5561873710224
103665166,168716,81399855,154628,100645.7922330097,163.8019417475728,79028.9854368932,150.1242718446602,1.2735301064111233,1.0911089841425874,526.4237718912486
103609261,168618,81425775,154609,100591.51553398058,163.70679611650485,79054.1504854369,150.10582524271845,1.2724381315375874,1.090609214211333,526.6561131628819
103585658,168622,81226655,154492,100568.6,163.71067961165048,78860.83009708738,149.99223300970874,1.2752668197403918,1.091461046526681,525.7660914481008
103625847,168664,81282484,154658,100607.61844660195,163.7514563106796,78915.03300970874,150.15339805825244,1.2748853369195754,1.090561109027661,525.5627513610676
103628421,168633,81367654,154527,100610.11747572816,163.72135922330096,78997.7223300971,150.026213592233,1.273582509826325,1.0912850181521676,526.5594621004743
103668167,168407,80932693,154072,100648.70582524272,163.50194174757283,78575.43009708737,149.58446601941748,1.2809182934268604,1.0930409159354069,525.2913767589179
3324283,47505,78247003,96153,3227.4592233009707,46.12135922330097,75967.96407766991,93.35242718446602,0.04248447700929836,0.4940563476958597,813.7759924287334
103599081,168744,81237036,154415,100581.63203883496,163.82912621359225,78870.90873786408,149.91747572815535,1.275269090319839,1.0927953890489914,526.0954959038953
103595615,168793,81320826,154656,100578.26699029126,163.8766990291262,78952.25825242719,150.1514563106796,1.273912478459085,1.0914093213325058,525.8174658597145
103642162,168927,81293029,154755,100623.45825242718,164.00679611650486,78925.2708737864,150.24757281553397,1.2749206577110075,1.0915770088203935,525.3014700655875
